userId,movieId,prediction
1,1449,5.020430088043213
1,408,5.000752925872803
1,1367,4.961170196533203
1,919,4.66041374206543
1,512,4.615869522094727
1,1524,4.604227066040039
1,1467,4.603549003601074
1,1122,4.583725452423096
1,511,4.581613063812256
1,474,4.534952163696289
2,1449,4.970369338989258
2,113,4.711959362030029
2,408,4.702795028686523
2,1398,4.632488250732422
2,64,4.616421699523926
2,318,4.613371849060059
2,1643,4.612264633178711
2,119,4.611915111541748
2,515,4.596462726593018
2,190,4.586989879608154
3,1643,4.895716667175293
3,1268,4.764368534088135
3,1607,4.392354965209961
3,1143,4.339308261871338
3,42,4.319639682769775
3,838,4.17973518371582
3,1467,4.174956321716309
3,1664,4.114117622375488
3,902,4.109481334686279
3,1463,4.0275774002075195
4,1368,6.070769309997559
4,1642,5.672661304473877
4,1131,5.657572269439697
4,1631,5.646522045135498
4,850,5.63691520690918
4,867,5.619562149047852
4,1656,5.608553886413574
4,1636,5.588738918304443
4,1651,5.588738918304443
4,1650,5.588738918304443
4,1645,5.588738918304443
5,1463,4.917716026306152
5,1367,4.597199440002441
5,1500,4.408867835998535
5,114,4.398868560791016
5,613,4.376515865325928
5,641,4.346816539764404
5,1629,4.267014503479004
5,119,4.264778137207031
5,1368,4.241267204284668
5,175,4.239860534667969
6,1643,5.298515319824219
6,1463,4.912466049194336
6,1449,4.524990081787109
6,1512,4.472905158996582
6,1203,4.464334487915039
6,641,4.405332565307617
6,1398,4.364977836608887
6,1558,4.355278968811035
6,647,4.273097515106201
6,718,4.270831108093262
7,1643,6.173618316650391
7,1463,5.218969345092773
7,1650,5.011986255645752
7,1636,5.011986255645752
7,1651,5.011986255645752
7,1645,5.011986255645752
7,1398,4.972553253173828
7,320,4.861114978790283
7,1449,4.859141826629639
7,1467,4.854623794555664
8,313,4.77156925201416
8,64,4.758271217346191
8,408,4.747056007385254
8,1142,4.731782913208008
8,1449,4.707400798797607
8,963,4.68686056137085
8,119,4.664005756378174
8,613,4.654110908508301
8,169,4.652822971343994
8,114,4.627316474914551
9,1367,5.084131240844727
9,1463,5.066496849060059
9,954,5.018136978149414
9,1064,5.005387306213379
9,1449,4.943599700927734
9,316,4.940371036529541
9,169,4.896124839782715
9,1642,4.88145637512207
9,1524,4.873941898345947
9,187,4.854339599609375
10,1643,5.273507595062256
